index,lon,lat,age,plate_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
25,-110.94,33.33,61,101,-96.08,39.8,0.07,404.0,-100.19,37.05,11.94,15.99,4.22,-163.35,0.19,47.46,902.0,101.0,18.37,18.37,11.48,3.29,-4.05,-1.21,-7.72,15.59,7.43,2.07,52.23,0.18,18.78,133.6,2.19
26,-110.95,33.4,59,101,-96.68,39.66,0.07,407.0,-100.77,36.83,9.39,5.57,1.48,-161.76,0.19,47.24,902.0,101.0,18.37,18.37,9.34,0.91,-1.4,-0.46,-7.95,3.14,7.94,0.44,51.2,0.15,9.66,132.49,2.28
27,-111.02,31.97,56,101,-97.36,38.07,0.06,412.0,-101.1,36.5,10.31,-13.63,1.47,174.36,0.19,71.44,902.0,101.0,18.18,18.18,10.02,-2.43,-1.46,0.14,-8.85,-15.04,8.55,-2.3,50.26,0.15,12.99,148.9,2.34
28,-111.03,31.88,58,101,-97.07,38.1,0.06,409.0,-100.8,36.61,9.38,-18.44,1.48,174.27,0.19,71.35,902.0,101.0,18.18,18.18,8.9,-2.97,-1.47,0.15,-7.95,-20.89,7.43,-2.83,51.09,0.14,10.78,133.46,2.3
29,-111.07,31.98,58,101,-97.11,38.2,0.06,409.0,-100.8,36.61,9.38,-18.44,1.48,174.27,0.19,71.35,902.0,101.0,18.18,18.18,8.9,-2.97,-1.47,0.15,-7.95,-20.89,7.43,-2.83,51.09,0.14,10.78,133.46,2.3
31,-111.42,33.12,62,101,-96.17,39.78,0.07,404.0,-99.76,37.21,13.17,16.42,4.22,-163.17,0.19,47.72,902.0,101.0,18.37,18.37,12.63,3.72,-4.04,-1.22,-8.95,16.22,8.59,2.5,52.35,0.2,41.37,122.92,2.15
32,-111.58,33.11,70,101,-92.38,40.31,0.06,376.0,-95.95,37.85,13.71,17.22,3.74,-138.23,0.19,49.83,902.0,101.0,18.37,18.37,13.1,4.06,-2.79,-2.49,-10.43,8.63,10.31,1.57,57.31,0.22,32.55,127.87,2.38
33,-111.88,32.52,66,101,-94.91,39.8,0.05,408.0,-98.02,37.85,12.25,11.12,4.22,-162.43,0.19,48.82,902.0,101.0,18.37,18.37,12.02,2.36,-4.02,-1.27,-8.07,7.76,7.99,1.09,55.85,0.19,30.68,132.31,2.24
34,-112.36,47.03,46,101,-99.64,51.32,0.16,284.0,-114.41,52.5,5.39,-71.33,1.85,175.19,0.19,90.7,903.0,101.0,17.19,40.49,1.73,-5.11,-1.85,0.16,4.94,-91.47,-0.13,-4.94,19.67,0.02,4.76,371.06,1.85
35,-112.58,34.51,64,101,-96.34,41.55,0.07,395.0,-100.35,38.79,13.26,13.7,4.22,-162.8,0.19,47.37,902.0,101.0,20.07,20.07,12.89,3.14,-4.03,-1.25,-9.05,12.09,8.85,1.9,55.24,0.21,15.21,134.23,2.14
36,-112.85,32.36,63,101,-97.35,39.28,0.04,402.0,-99.65,37.66,13.29,13.71,4.22,-162.99,0.19,47.8,902.0,101.0,18.75,18.75,12.92,3.15,-4.04,-1.24,-9.08,12.19,8.88,1.92,53.31,0.2,33.62,132.39,2.11
37,-113.17,34.58,71,101,-93.43,41.92,0.07,368.0,-96.93,39.13,13.49,14.56,3.74,-137.88,0.19,49.2,902.0,101.0,20.07,20.07,13.06,3.39,-2.77,-2.51,-10.33,4.9,10.29,0.88,57.13,0.21,33.22,126.8,2.38
38,-113.3,38.48,28,101,-106.93,42.33,0.15,223.0,-107.66,33.56,11.92,30.28,2.44,-144.98,0.19,35.14,902.0,101.0,1.39,1.39,10.3,6.01,-2.0,-1.4,-9.49,29.12,8.29,4.62,1.27,0.03,16.33,511.69,0.99
39,-113.57,28.03,107,901,-78.87,17.62,0.08,619.0,-74.47,18.7,14.57,-8.65,6.29,-153.64,0.2,76.01,902.0,101.0,4.59,4.59,14.4,-2.19,-5.63,-2.79,-10.08,-29.62,8.76,-4.98,81.14,0.29,105.05,103.34,2.39
40,-114.15,35.37,73,101,-93.46,42.76,0.07,359.0,-96.93,39.65,13.47,26.51,3.74,-125.12,0.17,37.04,902.0,101.0,20.93,20.93,12.06,6.01,-2.15,-3.06,-10.34,16.59,9.91,2.95,58.65,0.18,21.29,126.27,2.41
41,-114.77,41.77,150,101,-61.32,32.86,0.14,455.0,-70.47,31.29,11.14,3.04,3.04,-138.29,0.19,76.22,902.0,101.0,11.17,13.38,11.13,0.59,-2.27,-2.02,-8.98,-9.28,8.86,-1.45,90.08,0.22,20.62,140.9,2.69
