subducting convergence velocity obliquity angle,trench absolute velocity obliquity angle,subducting plate absolute velocity obliquity angle,subducting convergence velocity magnitude,trench absolute velocity magnitude,subducting plate absolute velocity magnitude,sea floor age,sediment thickness,Label
-34.61,-173.66,-44.82,13.71,3.08,-11.58,49.13,360.51,1
-34.61,-173.66,-44.82,13.71,3.08,-11.58,49.13,360.51,1
-34.61,-173.66,-44.82,13.71,3.08,-11.58,49.13,360.51,1
-34.61,-173.66,-44.82,13.71,3.08,-11.58,49.13,360.51,1
7.56,-118.94,-2.05,10.1,1.89,-9.1,83.96,6584.01,1
3.42,-148.97,-7.7,14.42,4.38,-10.72,55.04,144.69,1
-52.31,-165.66,-79.12,7.76,3.48,-7.12,51.08,668.87,1
33.13,-116.91,21.91,11.74,3.44,-8.92,47.47,485.38,1
36.38,-76.66,9.35,7.7,-3.47,-7.08,51.08,668.87,1
39.61,-98.69,28.26,12.4,3.02,-10.34,40.27,452.84,1
2.02,-139.27,-12.85,5.56,1.76,-4.34,44.84,1143.36,1
-4.34,-144.75,-18.78,5.67,1.73,-4.48,39.31,1060.84,1
-7.06,-111.85,-42.98,5.7,3.55,-5.87,13.5,479.71,1
-7.17,-111.32,-43.35,5.61,3.54,-5.83,13.24,479.71,1
29.45,-112.52,-93.75,2.31,5.89,4.29,45.38,757.05,1
3.7,-80.65,-8.73,17.25,-3.85,-18.03,28.49,601.35,1
-29.04,126.37,-5.77,4.45,2.38,-2.49,5.21,916.09,1
-41.23,143.77,-48.66,4.26,2.53,-1.76,6.29,692.79,1
59.63,-60.93,31.77,9.83,-4.59,-8.44,46.02,899.77,1
-13.63,174.36,-15.04,10.31,1.47,-8.85,50.26,148.9,1
-13.63,174.36,-15.04,10.31,1.47,-8.85,50.26,148.9,1
13.67,-162.8,12.05,13.29,4.22,-9.08,54.18,134.23,1
15.99,-163.35,15.59,11.94,4.22,-7.72,52.23,133.6,1
8.87,-164.51,6.95,9.81,2.36,-7.47,4.97,492.16,1
2.92,-172.12,1.35,9.17,2.36,-6.81,6.84,513.56,1
-14.94,172.45,-27.72,4.11,2.62,-1.56,8.68,647.53,1
-14.97,171.08,-25.14,4.13,2.58,-1.58,8.25,729.18,1
27.25,-120.08,-1.27,8.45,4.64,-5.18,45.63,171.95,1
27.25,-120.08,-1.27,8.45,4.64,-5.18,45.63,171.95,1
-37.38,144.91,-40.55,4.37,2.46,-1.91,9.22,1096.44,1
-54.18,149.98,-56.78,25.91,2.62,-23.52,3.0,113.7,1
-68.09,-154.91,-80.27,17.63,3.8,-18.23,51.17,601.35,1
3.82,-77.53,-8.87,16.75,-3.89,-17.74,31.13,1470.93,1
-91.85,164.09,-120.93,-4.74,2.38,4.77,19.1,998.72,1
37.28,-133.16,35.27,13.79,2.47,-11.36,9.72,1448.4,1
-19.15,169.7,-21.2,12.88,2.48,-10.43,9.96,480.04,1
5.56,-161.71,3.12,9.39,1.47,-7.96,51.09,133.46,1
17.04,-125.91,-1.06,13.7,5.17,-10.08,56.24,130.19,1
-4.45,-177.33,-17.15,4.08,2.63,-1.51,6.21,593.86,1
33.99,-130.31,24.51,16.09,6.13,-10.32,86.45,107.03,1
-41.16,143.72,-48.48,4.25,2.53,-1.75,7.14,712.09,1
-2.39,-130.49,-11.86,10.34,1.94,-9.27,55.1,6721.5,1
41.53,-111.56,13.38,8.33,4.82,-4.56,47.43,168.52,1
-12.65,-139.94,-22.17,10.21,1.91,-9.18,85.36,7137.92,1
-57.66,-174.82,-68.81,15.17,3.03,-14.05,44.84,510.36,1
6.56,-166.0,4.64,11.51,2.43,-9.11,0.63,374.2,1
-2.36,-170.16,-4.86,9.48,1.58,-7.95,42.89,175.65,1
17.04,-125.91,-1.06,13.7,5.17,-10.08,56.24,130.19,1
21.11,-135.83,14.71,12.32,2.84,-9.75,20.91,296.67,1
-44.9,-163.39,-65.77,13.61,4.88,-12.05,74.34,146.54,1
-10.39,-140.86,-106.95,3.23,5.71,4.34,43.46,173.26,1
25.17,-67.56,-40.45,2.26,-4.5,-4.94,96.26,177.89,1
25.17,-67.56,-40.45,2.26,-4.5,-4.94,96.26,177.89,1
25.3,-67.47,-40.49,2.25,-4.51,-4.94,96.33,177.89,1
-0.29,-173.3,-1.05,9.82,0.85,-8.98,3.72,260.95,1
-2.73,151.94,6.53,10.6,3.07,-7.93,94.75,318.78,1
-6.14,-149.46,-19.37,11.51,3.42,-9.02,65.16,1311.23,1
19.84,-127.26,-26.25,6.54,4.79,-3.64,65.26,996.86,1
28.83,-112.5,-93.0,2.35,5.88,4.29,49.49,162.02,1
28.83,-112.5,-93.0,2.35,5.88,4.29,49.49,162.02,1
-95.35,161.44,-124.61,-4.71,2.39,4.78,18.62,1635.02,1
27.06,-146.58,25.68,13.3,2.46,-10.86,7.72,1854.88,1
55.44,-112.86,53.0,17.89,3.06,-14.91,11.92,238.61,1
24.77,-141.9,22.13,18.37,3.02,-15.44,17.27,391.28,1
-11.02,153.69,-4.82,10.81,3.17,-7.8,35.36,246.18,1
-18.41,172.47,-27.16,9.37,4.22,-5.29,51.31,138.01,1
5.58,-163.53,-3.14,9.38,4.22,-5.3,51.31,138.01,1
-5.21,148.86,0.24,16.16,2.97,-13.55,48.28,161.83,1
22.26,-137.11,16.88,12.77,2.78,-10.19,9.76,329.77,1
13.7,-162.98,12.18,13.3,4.22,-9.08,53.31,132.39,1
-21.35,126.64,-2.18,11.28,4.78,-7.65,87.62,422.34,1
23.92,-104.82,14.49,10.36,1.95,-9.27,60.13,169.42,1
-96.9,107.63,-99.4,-23.78,2.28,21.72,25.16,738.16,1
-70.45,134.1,-72.95,23.77,2.27,-21.71,26.52,738.16,1
-70.45,134.1,-72.95,23.77,2.27,-21.71,26.52,738.16,1
-83.58,121.05,-86.08,23.72,2.26,-21.67,32.41,738.16,1
17.02,-125.62,-1.06,13.71,5.15,-10.12,56.05,130.19,1
-13.65,174.42,-15.1,10.29,1.49,-8.82,50.26,140.47,1
29.11,-122.48,19.19,13.48,3.74,-10.35,58.65,126.27,1
-0.4,-118.74,-21.29,13.57,4.87,-12.04,74.34,146.54,1
38.62,172.8,108.0,8.81,9.11,6.97,54.46,214.82,1
-14.0,149.92,-5.48,7.43,2.63,-4.96,0.04,284.09,1
41.77,-112.51,13.75,8.29,4.86,-4.42,34.74,167.49,1
59.09,-61.16,31.46,9.88,-4.58,-8.52,48.83,899.77,1
-7.57,172.84,-7.78,13.17,4.22,-8.95,52.35,122.92,1
-17.64,174.32,-19.87,9.65,1.47,-8.22,50.41,138.36,1
14.6,-137.92,4.91,13.46,3.74,-10.29,57.68,126.8,1
11.12,-162.43,7.76,12.25,4.22,-8.07,55.85,132.31,1
