subducting convergence velocity obliquity angle,trench absolute velocity obliquity angle,subducting plate absolute velocity obliquity angle,subducting convergence velocity magnitude,trench absolute velocity magnitude,subducting plate absolute velocity magnitude,sea floor age,sediment thickness,Label
12.36,-109.28,-8.18,13.49,4.81,-11.69,67.0,911.44,0
11.85,-109.02,-8.84,13.46,4.82,-11.72,67.78,931.37,0
11.34,-108.76,-9.5,13.42,4.83,-11.75,68.07,996.51,0
10.82,-108.49,-10.15,13.39,4.83,-11.78,68.75,880.09,0
10.31,-108.22,-10.8,13.35,4.84,-11.82,69.48,991.31,0
9.79,-107.95,-11.45,13.32,4.85,-11.85,69.08,980.15,0
18.47,-107.68,-4.83,11.97,4.85,-9.89,62.28,1065.28,0
18.13,-107.41,-5.24,11.99,4.86,-9.95,63.27,1120.94,0
17.78,-107.13,-5.65,12.0,4.86,-10.02,64.19,999.5,0
17.44,-106.85,-6.05,12.01,4.87,-10.08,63.96,149.89,0
17.1,-106.57,-6.44,12.03,4.88,-10.14,64.94,150.11,0
26.39,-106.29,-12.39,7.78,4.88,-5.71,66.71,149.17,0
26.33,-106.0,-12.31,7.81,4.89,-5.76,66.07,149.13,0
26.28,-105.72,-12.23,7.85,4.89,-5.82,66.72,149.14,0
26.22,-105.43,-12.15,7.88,4.9,-5.87,67.36,147.79,0
26.17,-105.13,-12.07,7.91,4.9,-5.93,66.76,147.78,0
11.4,-104.84,-23.27,8.55,4.91,-7.72,68.23,147.76,0
11.34,-104.54,-23.3,8.55,4.91,-7.76,68.44,148.13,0
11.28,-104.25,-23.33,8.56,4.91,-7.8,67.61,147.69,0
11.22,-103.94,-23.36,8.56,4.92,-7.83,67.8,149.07,0
11.17,-103.64,-23.39,8.57,4.92,-7.87,68.74,149.14,0
2.69,-127.3,-23.42,10.03,4.53,-7.9,67.88,158.0,0
2.89,-127.26,-23.26,10.09,4.56,-7.93,68.05,157.59,0
3.09,-127.22,-23.1,10.14,4.59,-7.96,67.16,158.23,0
3.28,-127.18,-22.95,10.2,4.63,-7.99,67.29,158.6,0
3.47,-127.13,-22.79,10.26,4.66,-8.02,67.4,158.47,0
47.13,-112.27,37.29,15.61,5.19,-10.91,68.47,158.84,0
47.14,-112.26,37.26,15.63,5.21,-10.9,69.2,158.82,0
47.16,-112.24,37.23,15.65,5.24,-10.9,71.0,159.3,0
47.17,-112.22,37.19,15.67,5.26,-10.9,71.78,159.54,0
47.19,-112.2,37.16,15.68,5.28,-10.9,73.75,159.71,0
47.2,-112.17,37.12,15.7,5.31,-10.89,77.01,160.05,0
47.22,-112.13,37.08,15.72,5.33,-10.89,80.83,159.99,0
47.24,-112.1,37.04,15.73,5.36,-10.89,82.79,160.34,0
47.26,-112.05,37.01,15.75,5.38,-10.88,89.17,160.28,0
47.28,-112.0,36.97,15.76,5.4,-10.88,93.2,160.62,0
49.35,-101.57,36.39,17.32,5.77,-12.59,93.95,159.94,0
42.73,-114.03,35.58,19.43,4.77,-15.16,96.13,160.27,0
42.48,-113.82,35.18,19.4,4.77,-15.15,96.86,160.7,0
30.7,-113.61,20.09,18.73,4.76,-15.12,94.02,161.14,0
30.46,-113.41,19.75,18.7,4.76,-15.12,89.64,160.41,0
28.58,-115.85,18.82,17.71,4.22,-14.49,83.95,160.46,0
23.71,-125.36,16.88,15.52,3.03,-13.02,77.61,160.53,0
23.34,-125.2,16.43,15.5,3.02,-13.02,74.34,162.31,0
22.98,-125.03,15.98,15.48,3.01,-13.02,71.05,161.03,0
22.61,-124.87,15.53,15.46,3.01,-13.03,68.85,160.49,0
10.92,-140.63,3.79,14.31,3.08,-11.7,107.92,162.99,0
1.24,-137.85,-10.67,13.64,3.55,-11.21,107.25,163.17,0
0.92,-137.56,-11.1,13.6,3.53,-11.21,103.81,168.67,0
0.59,-137.26,-11.53,13.57,3.52,-11.22,98.8,166.02,0
0.25,-136.96,-11.96,13.53,3.5,-11.22,96.35,162.51,0
1.61,-136.66,-22.47,7.78,3.49,-5.67,93.54,168.69,0
1.62,-136.35,-22.51,7.76,3.48,-5.67,90.47,165.84,0
1.08,-137.22,-23.0,7.67,3.44,-5.59,88.03,169.86,0
-4.35,-148.08,-27.71,7.12,3.29,-4.88,82.26,170.64,0
-4.39,-147.85,-27.82,7.1,3.27,-4.87,80.08,170.73,0
14.22,-75.86,-54.99,1.74,-4.54,-4.85,79.25,169.33,0
14.66,-75.71,-54.65,1.75,-4.53,-4.85,77.72,168.52,0
15.11,-75.56,-54.31,1.76,-4.53,-4.84,77.56,167.36,0
15.56,-75.41,-53.95,1.78,-4.53,-4.83,71.99,167.06,0
