Seafloor Age,Trench Absolute Orthogonal,Trench Absolute Parallel,Convergence Orthogonal,Convergence Parallel,subduction volume,sediment thickness,ocean crust carbon percent,Label
68.75,-1.53,-4.58,13.15,2.51,0.23,880.09,2.57,0
69.48,-1.51,-4.6,13.14,2.39,0.24,991.31,2.55,0
69.08,-1.49,-4.61,13.12,2.26,0.23,980.15,2.54,0
62.28,-1.47,-4.62,11.35,3.79,0.19,1065.28,2.55,0
63.27,-1.45,-4.64,11.39,3.73,0.2,1120.94,2.55,0
64.19,-1.43,-4.65,11.43,3.66,0.2,999.5,2.54,0
63.96,-1.41,-4.66,11.46,3.6,0.2,149.89,2.53,0
64.94,-1.39,-4.67,11.5,3.54,0.2,150.11,2.5,0
66.71,-1.37,-4.69,6.97,3.46,0.12,149.17,2.4,0
66.07,-1.35,-4.7,7.0,3.47,0.12,149.13,2.37,0
66.72,-1.32,-4.71,7.04,3.47,0.12,149.14,2.27,0
67.36,-1.3,-4.72,7.07,3.48,0.12,147.79,2.18,0
66.76,-1.28,-4.73,7.1,3.49,0.12,147.78,2.16,0
68.23,-1.26,-4.74,8.38,1.69,0.15,147.76,2.11,0
68.44,-1.23,-4.75,8.39,1.68,0.15,148.13,2.11,0
67.61,-1.21,-4.76,8.39,1.67,0.15,147.69,2.1,0
67.8,-1.19,-4.77,8.4,1.67,0.15,149.07,2.11,0
68.74,-1.16,-4.78,8.41,1.66,0.15,149.14,2.13,0
67.88,-2.74,-3.6,10.02,0.47,0.18,158.0,2.13,0
68.05,-2.76,-3.63,10.08,0.51,0.18,157.59,2.16,0
67.16,-2.78,-3.66,10.13,0.55,0.18,158.23,2.17,0
67.29,-2.8,-3.69,10.18,0.58,0.18,158.6,2.22,0
67.4,-2.81,-3.72,10.24,0.62,0.18,158.47,2.28,0
68.47,-1.97,-4.8,10.62,11.44,0.19,158.84,2.4,0
69.2,-1.97,-4.82,10.63,11.46,0.19,158.82,2.43,0
71.0,-1.98,-4.85,10.64,11.47,0.19,159.3,2.38,0
71.78,-1.99,-4.87,10.65,11.49,0.19,159.54,2.32,0
73.75,-2.0,-4.89,10.66,11.5,0.2,159.71,2.36,0
77.01,-2.0,-4.92,10.67,11.52,0.2,160.05,2.45,0
80.83,-2.01,-4.94,10.67,11.54,0.2,159.99,2.48,0
82.79,-2.01,-4.96,10.68,11.55,0.2,160.34,2.51,0
89.17,-2.02,-4.98,10.69,11.56,0.21,160.28,2.68,0
93.2,-2.02,-5.01,10.69,11.58,0.21,160.62,2.7,0
93.95,-1.16,-5.66,11.28,13.14,0.22,159.94,2.7,0
96.13,-1.94,-4.36,14.27,13.18,0.29,160.27,2.71,0
96.86,-1.93,-4.36,14.31,13.1,0.29,160.7,2.71,0
94.02,-1.91,-4.37,16.1,9.56,0.32,161.14,2.7,0
89.64,-1.89,-4.37,16.12,9.48,0.32,160.41,2.69,0
83.95,-1.84,-3.8,15.55,8.47,0.3,160.46,2.66,0
77.61,-1.75,-2.47,14.21,6.24,0.27,160.53,2.58,0
74.34,-1.74,-2.47,14.23,6.14,0.26,162.31,2.51,0
71.05,-1.73,-2.47,14.25,6.04,0.26,161.03,2.45,0
68.85,-1.72,-2.47,14.27,5.94,0.25,160.49,2.43,0
107.92,-2.38,-1.96,14.05,2.71,0.29,162.99,2.75,0
107.25,-2.63,-2.38,13.64,0.3,0.28,163.17,2.74,0
103.81,-2.61,-2.38,13.6,0.22,0.28,168.67,2.73,0
98.8,-2.58,-2.39,13.57,0.14,0.27,166.02,2.72,0
96.35,-2.56,-2.39,13.53,0.06,0.27,162.51,2.71,0
93.54,-2.54,-2.4,7.78,0.22,0.15,168.69,2.7,0
