Seafloor Age,Trench Absolute Orthogonal,Trench Absolute Parallel,Convergence Orthogonal,Convergence Parallel,subduction volume,sediment thickness,ocean crust carbon percent,Label
66.19,-3.61,-2.59,9.41,-2.64,0.17,147.18,2.11,0
95.95,1.45,-2.31,1.54,0.24,0.03,159.03,2.71,0
31.75,1.2,-4.51,8.26,13.97,0.09,484.75,2.17,0
78.9,-3.66,-3.4,9.32,-0.15,0.18,115.05,2.2,0
79.12,0.08,-4.91,8.16,7.26,0.15,157.77,2.21,0
41.73,-2.36,-1.05,14.16,-1.01,0.21,132.71,2.36,0
84.61,-1.76,-4.67,9.43,3.94,0.18,113.79,2.49,0
44.96,0.96,-3.53,1.39,2.54,0.02,140.27,2.59,0
82.56,-0.84,-4.92,12.38,6.44,0.21,110.85,2.29,0
97.2,-2.47,-1.48,11.44,-3.63,0.23,55.91,2.71,0
85.89,-4.94,-3.41,15.39,4.72,0.3,107.35,2.51,0
1.51,-1.33,-0.98,3.87,-8.71,0.01,269.8,1.21,0
1.89,-2.05,0.78,4.32,0.74,0.01,5273.38,0.72,0
59.16,-3.31,-3.46,6.83,-2.89,0.1,842.17,2.39,0
100.0,-3.8,0.47,10.11,-10.25,0.16,162.13,2.72,0
91.4,-3.47,-5.31,11.55,10.95,0.23,94.11,2.69,0
88.52,-4.44,-4.7,12.83,9.08,0.26,80.55,2.57,0
95.49,-1.73,-1.11,6.05,-1.36,0.12,173.1,2.71,0
87.34,-0.96,-5.01,8.5,4.74,0.17,146.54,2.68,0
62.29,2.63,-1.94,0.21,-1.49,0.0,170.89,2.56,0
98.0,-1.67,-0.78,0.21,-1.49,0.0,173.09,2.76,0
68.88,-1.99,-1.77,14.49,1.56,0.26,71.05,2.43,0
79.02,-2.75,-4.18,13.4,1.21,0.25,114.7,2.15,0
88.75,-0.97,-4.94,8.63,4.08,0.17,187.2,2.69,0
76.86,-3.96,3.97,0.64,-0.59,0.01,166.99,2.64,0
66.11,-3.2,-3.7,7.77,0.09,0.11,147.79,2.25,0
65.33,-2.71,-4.05,7.57,1.12,0.13,149.13,2.41,0
66.61,-2.84,-3.9,13.14,-1.79,0.23,991.31,2.56,0
55.61,-4.16,-2.27,10.62,-7.17,0.15,880.09,2.48,0
94.7,-1.38,0.32,9.01,-5.31,0.18,164.74,2.71,0
48.12,-0.33,-5.26,3.95,2.35,0.06,160.22,2.49,0
87.04,-1.59,-4.72,10.53,2.03,0.2,116.86,2.44,0
57.35,0.21,-3.91,3.52,0.49,0.04,106.44,1.9,0
10.63,-2.4,-0.76,5.06,1.2,0.03,2473.71,1.34,0
65.58,-2.57,-2.66,11.12,2.86,0.19,80.7,2.56,0
83.28,-4.42,-0.78,11.44,0.65,0.23,116.68,2.66,0
65.51,-3.5,-1.33,12.56,-2.35,0.22,106.09,2.55,0
86.93,-4.32,-4.0,13.39,1.24,0.26,106.82,2.49,0
70.6,2.43,-6.31,5.51,6.69,0.1,228.61,2.74,0
58.67,0.64,-3.51,2.28,2.59,0.04,105.34,1.9,0
67.03,-2.64,-2.65,12.48,2.93,0.22,89.47,2.57,0
21.88,-1.39,1.91,-2.94,-3.74,0.0,1566.09,1.65,0
74.24,1.1,-4.39,1.73,0.44,0.03,168.52,2.63,0
87.21,-4.66,-0.74,18.71,-5.04,0.31,158.56,2.68,0
34.8,-1.72,-3.92,6.11,2.85,0.08,165.77,2.42,0
101.89,-3.69,-0.69,12.48,-6.77,0.25,162.13,2.73,0
94.5,-0.13,5.36,7.37,-8.5,0.15,6095.17,2.84,0
86.69,-2.33,-2.19,10.95,1.51,0.22,124.3,2.68,0
65.51,-3.5,-1.33,12.5,-2.35,0.22,106.09,2.55,0
88.27,-2.28,-2.19,10.99,1.51,0.23,124.3,2.68,0
96.0,-2.65,-0.01,0.64,-0.59,0.01,159.12,2.85,0
66.76,-2.66,-4.1,7.7,1.12,0.14,147.78,2.16,0
80.95,-2.45,-1.81,15.48,1.55,0.29,160.53,2.65,0
33.17,-1.79,-3.84,6.02,2.58,0.08,166.8,2.37,0
50.29,2.27,-4.01,5.31,8.49,0.09,959.85,2.45,0
84.76,-1.68,-4.97,8.87,4.4,0.18,115.97,2.67,0
85.54,-3.37,-3.67,10.53,-2.46,0.2,106.78,2.39,0
95.53,-1.79,-1.87,10.6,-1.91,0.21,172.05,2.71,0
49.1,0.56,-5.28,7.09,5.26,0.11,142.72,2.5,0
97.02,-1.97,-1.98,11.61,-0.92,0.22,58.78,2.71,0
91.41,-2.91,-5.56,10.85,11.75,0.2,94.59,2.69,0
35.03,-0.9,-1.7,4.05,0.18,0.05,1023.82,2.11,0
34.36,-0.35,-4.68,8.15,9.69,0.1,408.22,2.24,0
49.59,-0.1,-3.67,1.74,1.94,0.03,107.83,2.57,0
78.97,-4.47,2.53,11.13,-0.5,0.01,166.65,2.65,0
56.65,-1.93,-6.64,8.81,1.02,0.14,187.83,2.54,0
73.26,-4.9,0.34,7.07,-8.38,0.13,158.17,2.44,0
93.49,-3.16,-3.56,18.28,4.12,0.36,161.14,2.7,0
93.49,-3.16,-3.56,18.28,4.12,0.36,161.14,2.7,0
66.97,-0.94,-4.35,5.86,4.71,0.11,162.89,1.72,0
53.39,2.35,-4.01,2.16,5.43,0.04,1160.99,2.51,0
56.07,-8.88,-1.03,4.73,6.79,0.08,5546.7,2.54,0
86.34,-0.85,-0.42,9.65,0.44,0.2,145.52,2.68,0
25.21,-0.28,-1.69,3.36,0.91,0.04,774.48,2.03,0
72.79,-1.81,-4.57,5.86,5.78,0.11,166.35,1.97,0
11.94,0.58,-1.14,8.89,1.49,0.07,368.21,1.8,0
37.74,0.96,-4.48,9.66,6.74,0.13,991.31,2.24,0
12.64,0.62,-1.16,9.8,1.86,0.08,269.8,1.77,0
52.06,-8.88,1.68,6.72,5.06,0.11,5546.7,2.51,0
94.45,1.78,-1.14,1.86,-1.61,0.04,159.56,2.7,0
87.96,-0.85,0.57,8.24,1.84,0.16,6587.38,2.72,0
35.03,-0.54,-3.01,10.76,8.09,0.15,438.27,2.15,0
100.0,-3.8,0.47,10.11,-10.25,0.16,162.13,2.72,0
54.55,1.24,-4.38,3.37,14.05,0.06,471.85,2.05,0
66.26,-0.84,-4.99,3.52,7.21,0.07,160.74,2.3,0
34.11,1.17,-4.52,3.01,4.58,0.04,948.96,2.23,0
104.26,-3.77,0.41,9.87,-10.33,0.16,162.51,2.73,0
85.8,-1.57,-4.98,8.85,4.23,0.18,141.61,2.67,0
91.59,-3.44,-3.02,16.89,1.09,0.33,64.71,2.69,0
91.95,-1.94,-4.16,15.01,7.95,0.3,61.47,2.7,0
84.5,-3.4,3.71,10.64,-3.66,0.21,137.35,2.7,0
90.33,-3.55,-5.27,11.53,10.94,0.23,76.82,2.65,0
107.69,-2.91,-1.89,13.17,-2.08,0.27,168.0,2.75,0
52.82,-8.98,0.42,6.48,6.06,0.1,233.02,2.52,0
13.63,-2.34,0.56,4.25,-1.02,0.03,1042.36,1.55,0
56.79,-3.64,-1.73,7.44,-4.72,0.12,145.59,2.17,0
83.13,0.35,-2.18,1.2,-1.83,0.02,159.33,2.66,0
35.16,-1.69,-3.92,6.04,2.85,0.08,166.1,2.43,0
99.59,-3.73,0.43,5.24,-5.64,0.08,159.86,2.72,0
99.59,-3.73,0.43,5.24,-5.64,0.08,159.86,2.72,0
13.23,-1.26,2.67,-2.05,-23.71,0.0,351.43,1.76,0
97.8,-1.66,-0.79,0.21,-1.49,0.0,183.71,2.73,0
59.73,-2.85,0.62,10.69,-10.83,0.19,165.83,2.29,0
8.88,-1.94,1.01,5.33,-4.46,0.03,874.91,1.48,0
80.01,-5.43,-1.0,15.76,-2.2,0.3,159.3,2.46,0
75.32,-4.69,-1.55,7.44,-4.01,0.14,150.5,2.13,0
72.2,-3.57,0.34,7.67,-8.34,0.14,1286.43,2.61,0
61.09,1.44,-1.59,0.21,-1.49,0.0,170.17,2.56,0
65.75,-1.84,-0.66,8.82,-5.36,0.16,960.5,2.59,0
95.87,-5.57,-1.07,15.83,-2.16,0.32,159.94,2.71,0
68.22,1.68,-0.99,0.21,-1.49,0.0,170.52,2.6,0
76.09,-2.41,1.79,1.97,-6.7,0.04,170.64,2.63,0
90.68,-0.35,4.65,7.09,-8.63,0.15,356.91,2.82,0
71.45,-2.74,-2.25,11.63,-0.16,0.21,1177.9,2.59,0
13.63,-2.34,0.56,4.25,-1.02,0.03,1042.36,1.55,0
96.3,0.24,-3.79,0.64,-0.59,0.01,162.73,2.84,0
83.69,-3.46,3.71,10.57,-3.71,0.21,132.11,2.68,0
90.59,-5.39,-3.47,14.86,5.37,0.29,65.6,2.69,0
77.11,1.02,-3.53,1.3,2.54,0.02,97.8,0.77,0
57.26,1.31,-1.74,2.3,-0.83,0.04,170.17,2.48,0
70.0,-2.73,-2.25,11.73,-0.16,0.21,1177.9,2.59,0
70.87,-2.09,-4.46,8.87,0.15,0.16,156.37,2.12,0
33.17,-1.79,-3.84,6.02,2.58,0.08,166.8,2.37,0
59.52,-3.85,-2.94,6.64,-3.94,0.1,149.14,2.25,0
63.83,-4.16,-2.56,15.04,2.06,0.23,146.67,2.29,0
4.27,-1.86,2.48,3.58,-24.13,0.01,274.15,1.51,0
87.45,-3.04,-0.62,10.69,-0.11,0.21,263.39,2.68,0
63.23,2.58,-6.43,6.02,6.44,0.1,299.39,2.6,0
79.02,-2.75,-4.18,13.4,1.21,0.25,114.7,2.15,0
90.44,-4.03,-4.62,13.66,8.48,0.27,102.6,2.68,0
33.91,-1.79,-1.24,6.64,-1.19,0.08,264.49,2.11,0
78.91,-2.63,-4.25,9.17,2.21,0.17,113.33,2.3,0
17.06,-2.28,0.76,-0.46,-4.62,0.0,583.4,1.59,0
48.12,-0.33,-5.26,3.95,2.35,0.06,160.22,2.49,0
94.57,1.07,-2.98,2.74,-0.17,0.05,167.61,2.7,0
23.5,-2.61,-0.75,10.05,-1.24,0.11,338.97,1.92,0
23.5,-2.61,-0.75,10.05,-1.24,0.11,338.97,1.92,0
94.2,-5.05,-3.5,15.35,4.75,0.31,99.71,2.7,0
37.95,-1.6,-3.85,5.68,2.58,0.08,166.93,2.54,0
0.67,-2.82,1.54,7.21,-1.64,0.01,274.15,1.0,0
63.17,-2.62,-4.11,7.53,1.19,0.12,147.79,2.41,0
64.64,-2.6,-4.13,7.54,1.19,0.12,147.78,2.27,0
73.24,-9.14,1.2,11.37,3.93,0.22,279.3,2.67,0
27.48,-3.32,1.69,12.21,-1.84,0.15,241.45,2.05,0
27.48,-3.32,1.69,12.21,-1.84,0.15,241.45,2.05,0
65.76,-1.49,-6.56,8.13,2.69,0.05,221.44,2.69,0
83.95,-4.44,-0.78,11.44,0.65,0.23,119.17,2.67,0
80.26,-1.65,-1.0,8.69,-3.32,0.06,150.2,2.79,0
