Seafloor Age,Trench Absolute Orthogonal,Trench Absolute Parallel,Convergence Orthogonal,Convergence Parallel,subduction volume,sediment thickness,ocean crust carbon percent,Label
49.13,-3.06,-0.34,11.28,-7.79,0.15,360.51,2.32,1
49.13,-3.06,-0.34,11.28,-7.79,0.15,360.51,2.32,1
83.96,-0.91,-1.65,10.01,1.33,0.19,6584.01,2.8,1
55.04,-3.75,-2.26,14.39,0.86,0.21,144.69,2.1,1
51.08,-3.37,-0.86,4.75,-6.14,0.07,668.87,2.47,1
47.47,-1.56,-3.07,9.83,6.42,0.16,485.38,2.16,1
51.08,0.8,-3.38,6.2,4.57,0.1,668.87,2.47,1
40.27,-0.46,-2.99,9.55,7.9,0.14,452.84,2.06,1
44.84,-1.33,-1.15,5.56,0.2,0.06,1143.36,2.19,1
39.31,-1.42,-1.0,5.66,-0.43,0.06,1060.84,2.12,1
13.5,-1.32,-3.29,5.66,-0.7,0.05,479.71,1.86,1
13.24,-1.29,-3.29,5.57,-0.7,0.04,479.71,1.85,1
45.38,-2.25,-5.44,2.01,1.13,0.03,757.05,2.47,1
28.49,0.62,-3.8,17.22,1.11,0.21,601.35,2.24,1
5.21,-1.41,1.91,3.89,-2.16,0.02,916.09,1.25,1
6.29,-2.04,1.49,3.21,-2.81,0.02,692.79,1.35,1
46.02,2.23,-4.01,4.97,8.48,0.08,899.77,2.36,1
50.26,-1.46,0.14,10.02,-2.43,0.15,148.9,2.34,1
50.26,-1.46,0.14,10.02,-2.43,0.15,148.9,2.34,1
54.18,-4.03,-1.25,12.91,3.14,0.21,134.23,2.12,1
52.23,-4.05,-1.21,11.48,3.29,0.18,133.6,2.19,1
4.97,-2.27,-0.63,9.7,1.51,0.05,492.16,1.29,1
6.84,-2.34,-0.32,9.15,0.47,0.05,513.56,1.39,1
8.68,-2.6,0.34,3.98,-1.06,0.03,647.53,1.45,1
8.25,-2.55,0.4,3.99,-1.07,0.02,729.18,1.4,1
45.63,-2.32,-4.01,7.52,3.87,0.11,171.95,2.52,1
45.63,-2.32,-4.01,7.52,3.87,0.11,171.95,2.52,1
9.22,-2.02,1.42,3.47,-2.65,0.02,1096.44,1.46,1
3.0,-2.27,1.31,15.17,-21.01,0.06,113.7,1.39,1
51.17,-3.44,-1.61,6.58,-16.36,0.09,601.35,2.15,1
31.13,0.84,-3.8,16.71,1.11,0.21,1470.93,2.28,1
19.1,-2.29,0.65,-0.15,-4.73,0.0,998.72,1.61,1
9.72,-1.69,-1.8,10.97,8.35,0.07,1448.4,1.67,1
9.96,-2.44,0.44,12.16,-4.22,0.06,480.04,1.66,1
51.09,-1.4,-0.46,9.35,0.91,0.15,133.46,2.3,1
