Seafloor Age,Distance Along Trench,Trench Absolute Orthogonal,Convergence Orthogonal,Convergence Parallel,decompacted sediment thickness,sediment thickness,ocean crust carbon percent,Label
83.96,16.2,-0.91,10.01,1.33,4.28,6584.01,2.8,1
55.04,57.95,-3.75,14.39,0.86,31.65,144.69,2.1,1
51.08,58.12,-3.37,4.75,-6.14,35.41,668.87,2.47,1
47.47,0.89,-1.56,9.83,6.42,16.55,485.38,2.16,1
51.08,0.3,0.8,6.2,4.57,35.41,668.87,2.47,1
40.27,5.6,-0.46,9.55,7.9,19.44,452.84,2.06,1
44.84,8.6,-1.33,5.56,0.2,118.15,1143.36,2.19,1
39.31,10.33,-1.42,5.66,-0.43,104.89,1060.84,2.12,1
13.5,10.79,-1.32,5.66,-0.7,34.64,479.71,1.86,1
13.24,11.17,-1.29,5.57,-0.7,34.64,479.71,1.85,1
45.38,7.73,-2.25,2.01,1.13,12.44,757.05,2.47,1
28.49,2.86,0.62,17.22,1.11,18.87,601.35,2.24,1
5.21,6.02,-1.41,3.89,-2.16,52.01,916.09,1.25,1
6.29,6.42,-2.04,3.21,-2.81,32.68,692.79,1.35,1
46.02,0.7,2.23,4.97,8.48,17.15,899.77,2.36,1
50.26,18.18,-1.46,10.02,-2.43,12.99,148.9,2.34,1
50.26,18.18,-1.46,10.02,-2.43,12.99,148.9,2.34,1
54.18,18.37,-4.03,12.91,3.14,20.38,134.23,2.12,1
52.23,18.37,-4.05,11.48,3.29,18.78,133.6,2.19,1
4.97,0.1,-2.27,9.7,1.51,35.43,492.16,1.29,1
6.84,1.05,-2.34,9.15,0.47,32.34,513.56,1.39,1
8.68,1.49,-2.6,3.98,-1.06,36.21,647.53,1.45,1
8.25,2.22,-2.55,3.99,-1.07,35.7,729.18,1.4,1
45.63,0.28,-2.32,7.52,3.87,0.0,171.95,2.52,1
45.63,0.28,-2.32,7.52,3.87,0.0,171.95,2.52,1
9.22,11.35,-2.02,3.47,-2.65,29.32,1096.44,1.46,1
3.0,46.42,-2.27,15.17,-21.01,2.07,113.7,1.39,1
51.17,58.12,-3.44,6.58,-16.36,20.27,601.35,2.15,1
31.13,6.19,0.84,16.71,1.11,18.87,1470.93,2.28,1
19.1,0.1,-2.29,-0.15,-4.73,44.39,998.72,1.61,1
9.72,4.0,-1.69,10.97,8.35,29.61,1448.4,1.67,1
9.96,11.94,-2.44,12.16,-4.22,28.75,480.04,1.66,1
51.09,18.37,-1.4,9.35,0.91,10.78,133.46,2.3,1
56.24,18.37,-3.03,13.1,4.01,23.53,130.19,2.32,1
6.21,0.09,-2.62,4.07,-0.32,36.2,593.86,1.36,1
86.45,26.25,-3.97,13.34,8.99,76.06,107.03,2.49,1
7.14,6.22,-2.04,3.2,-2.8,34.35,712.09,1.38,1
55.1,6.43,-1.26,10.33,-0.43,1.84,6721.5,2.53,1
47.43,6.73,-1.77,6.23,5.52,0.0,168.52,2.49,1
85.36,12.66,-1.46,9.96,-2.24,4.98,7137.92,2.81,1
44.84,58.12,-3.01,8.11,-12.82,38.46,510.36,2.06,1
0.63,4.65,-2.36,11.44,1.31,17.06,374.2,0.83,1
42.89,14.18,-1.55,9.48,-0.39,2.59,175.65,2.38,1
56.24,18.37,-3.03,13.1,4.01,23.53,130.19,2.32,1
20.91,25.31,-2.04,11.5,4.44,15.98,296.67,1.91,1
74.34,41.01,-4.68,9.64,-9.6,28.12,146.54,2.33,1
43.46,24.15,-4.43,3.18,-0.58,0.0,173.26,2.46,1
96.26,14.16,1.72,2.05,0.96,3.78,177.89,2.71,1
96.26,14.16,1.72,2.05,0.96,3.78,177.89,2.71,1
96.33,14.54,1.73,2.03,0.96,3.78,177.89,2.71,1
3.72,41.56,-0.85,9.82,-0.05,0.04,260.95,1.42,1
94.75,4.2,-2.71,10.58,-0.51,11.15,318.78,2.85,1
65.16,45.86,-2.94,11.45,-1.23,35.71,1311.23,2.49,1
65.26,45.86,-2.9,6.15,2.22,33.18,996.86,2.57,1
49.49,7.33,-2.25,2.06,1.13,82.62,162.02,2.5,1
49.49,7.33,-2.25,2.06,1.13,82.62,162.02,2.5,1
18.62,0.06,-2.27,-0.44,-4.69,48.52,1635.02,1.61,1
7.72,6.35,-2.05,11.84,6.05,20.09,1854.88,1.56,1
11.92,2.79,-1.19,10.15,14.74,28.94,238.61,1.78,1
17.27,10.49,-2.38,16.68,7.69,25.58,391.28,1.91,1
35.36,16.24,-2.84,10.61,-2.07,33.41,246.18,2.34,1
51.31,18.18,-4.19,8.89,-2.96,12.64,138.01,2.25,1
51.31,18.37,-4.05,9.34,0.91,12.64,138.01,2.25,1
48.28,18.18,-2.55,16.09,-1.47,17.61,161.83,2.38,1
9.76,25.83,-2.04,11.81,4.84,16.28,329.77,1.67,1
53.31,18.56,-4.04,12.92,3.15,33.62,132.39,2.11,1
87.62,12.17,-2.85,10.51,-4.11,12.87,422.34,2.8,1
60.13,1.73,-0.5,9.47,4.2,2.61,169.42,2.56,1
25.16,52.68,-0.69,-2.86,-23.61,2.46,738.16,2.06,1
26.52,52.86,-1.58,7.96,-22.4,17.65,738.16,2.11,1
26.52,52.86,-1.58,7.96,-22.4,17.65,738.16,2.11,1
32.41,53.41,-1.17,2.65,-23.58,17.65,738.16,2.3,1
56.05,19.69,-3.0,13.11,4.01,23.53,130.19,2.32,1
50.26,17.62,-1.48,10.0,-2.43,12.99,140.47,2.34,1
58.65,21.45,-2.01,11.78,6.56,21.29,126.27,2.41,1
74.34,41.58,-2.34,13.57,-0.1,28.12,146.54,2.33,1
54.46,19.11,-9.04,6.88,5.5,5.77,214.82,2.53,1
0.04,45.86,-2.27,7.21,-1.8,69.78,284.09,0.22,1
34.74,8.33,-1.86,6.18,5.52,0.0,167.49,2.39,1
48.83,0.1,2.21,5.08,8.48,24.22,899.77,2.4,1
52.35,18.18,-4.19,13.05,-1.74,41.37,122.92,2.15,1
50.41,18.18,-1.47,9.2,-2.93,22.9,138.36,2.33,1
57.68,18.75,-2.78,13.03,3.39,33.22,126.8,2.39,1
55.85,18.56,-4.02,12.02,2.36,30.68,132.31,2.24,1
25.62,25.24,-2.03,11.18,4.27,19.46,266.51,1.93,1
21.06,25.96,-2.03,11.54,4.55,16.32,320.76,1.94,1
43.08,7.54,-1.39,11.74,4.02,20.7,494.27,2.05,1
33.53,7.54,-0.43,15.86,-4.67,18.87,1470.93,2.28,1
5.69,17.05,-2.35,12.52,2.32,22.06,460.34,1.48,1
4.1,0.08,-2.01,9.6,4.73,23.08,547.68,1.28,1
11.92,38.93,-3.32,9.75,-7.67,0.01,212.64,1.8,1
11.33,39.11,-0.76,6.72,-6.84,0.36,252.13,1.68,1
9.31,46.42,-2.12,15.02,-19.45,1.09,461.56,1.65,1
0.73,46.42,-2.25,7.11,-1.8,69.78,284.09,1.03,1
50.19,0.1,2.23,5.16,8.48,23.58,924.2,2.43,1
39.85,0.1,2.12,7.33,9.42,17.92,996.51,2.26,1
28.12,5.63,-1.27,9.09,7.31,21.35,1142.26,2.29,1
40.61,5.45,-0.04,8.73,4.03,20.29,1349.43,2.35,1
57.54,52.68,-0.34,2.4,-9.35,20.35,498.0,2.21,1
13.4,52.68,-0.7,-4.84,-24.13,10.46,290.73,1.75,1
46.73,1.69,-0.09,6.6,6.87,20.35,1355.83,2.38,1
27.46,1.68,-1.87,23.45,2.26,16.3,290.73,2.06,1
45.95,2.48,-0.06,6.57,6.87,20.35,1355.83,2.38,1
28.78,2.27,-1.85,23.2,2.26,16.3,290.73,2.09,1
45.21,2.68,-0.05,6.56,6.87,20.35,1355.83,2.39,1
30.08,2.67,-1.83,23.03,2.26,16.3,290.73,2.13,1
45.83,3.28,-0.03,6.54,6.87,20.35,1355.83,2.38,1
31.02,3.06,-1.82,22.86,2.26,16.3,290.73,2.18,1
45.83,2.88,-0.04,6.56,6.87,20.35,1355.83,2.38,1
31.37,2.86,-1.83,22.95,2.26,16.3,290.73,2.19,1
44.03,4.67,-0.06,8.35,4.42,20.35,1355.83,2.38,1
48.77,4.25,-1.77,22.35,2.26,16.3,290.73,2.42,1
48.28,18.37,-2.95,15.31,5.21,17.61,161.83,2.38,1
37.08,18.18,-2.65,10.19,-3.09,25.28,262.32,2.35,1
57.31,18.37,-2.79,13.1,4.06,32.55,127.87,2.38,1
55.12,18.37,-4.03,12.03,2.38,28.86,135.39,2.17,1
51.31,18.37,-4.05,9.34,0.91,12.64,138.01,2.25,1
43.88,0.09,-2.32,7.52,3.87,0.0,173.33,2.46,1
46.17,0.09,-3.05,3.17,0.48,-0.0,166.73,2.48,1
48.46,0.28,-3.13,3.15,0.48,39.18,160.08,2.49,1
92.72,12.92,0.46,1.42,0.14,10.87,160.37,2.7,1
104.65,49.84,-3.63,6.83,-3.82,12.88,162.44,2.74,1
