Seafloor Age,Distance Along Trench,Trench Absolute Orthogonal,Convergence Orthogonal,Convergence Parallel,decompacted sediment thickness,sediment thickness,ocean crust carbon percent,Label
97.2,23.94,-2.47,11.44,-3.63,28.88,55.91,2.71,0
85.89,31.17,-4.94,15.39,4.72,45.31,107.35,2.51,0
1.51,47.33,-1.33,3.87,-8.71,19.45,269.8,1.21,0
1.89,13.19,-2.05,4.32,0.74,123.43,5273.38,0.72,0
59.16,53.58,-3.31,6.83,-2.89,35.81,842.17,2.39,0
100.0,54.81,-3.8,10.11,-10.25,14.68,162.13,2.72,0
91.4,20.07,-3.47,11.55,10.95,147.48,94.11,2.69,0
88.52,14.18,-4.44,12.83,9.08,51.81,80.55,2.57,0
95.49,14.5,-1.73,6.05,-1.36,14.9,173.1,2.71,0
87.34,9.88,-0.96,8.5,4.74,15.49,146.54,2.68,0
62.29,0.09,2.63,0.21,-1.49,4.48,170.89,2.56,0
98.0,0.1,-1.67,0.21,-1.49,2.79,173.09,2.76,0
68.88,27.35,-1.99,14.49,1.56,104.91,71.05,2.43,0
79.02,29.26,-2.75,13.4,1.21,51.79,114.7,2.15,0
88.75,14.35,-0.97,8.63,4.08,17.63,187.2,2.69,0
76.86,0.62,-3.96,0.64,-0.59,2.4,166.99,2.64,0
66.11,45.5,-3.2,7.77,0.09,32.98,147.79,2.25,0
65.33,45.86,-2.71,7.57,1.12,32.09,149.13,2.41,0
66.61,45.68,-2.84,13.14,-1.79,32.88,991.31,2.56,0
55.61,50.46,-4.16,10.62,-7.17,31.86,880.09,2.48,0
94.7,11.62,-1.38,9.01,-5.31,4.86,164.74,2.71,0
48.12,12.19,-0.33,3.95,2.35,11.68,160.22,2.49,0
87.04,19.69,-1.59,10.53,2.03,103.21,116.86,2.44,0
57.35,44.83,0.21,3.52,0.49,4.21,106.44,1.9,0
10.63,2.21,-2.4,5.06,1.2,103.21,2473.71,1.34,0
65.58,8.12,-2.57,11.12,2.86,10.88,80.7,2.56,0
83.28,1.34,-4.42,11.44,0.65,24.43,116.68,2.66,0
65.51,18.18,-3.5,12.56,-2.35,57.24,106.09,2.55,0
86.93,18.56,-4.32,13.39,1.24,110.81,106.82,2.49,0
70.6,1.45,2.43,5.51,6.69,34.38,228.61,2.74,0
58.67,6.91,0.64,2.28,2.59,2.52,105.34,1.9,0
67.03,18.56,-2.64,12.48,2.93,25.8,89.47,2.57,0
21.88,0.78,-1.39,-2.94,-3.74,45.91,1566.09,1.65,0
74.24,3.34,1.1,1.73,0.44,7.56,168.52,2.63,0
87.21,52.16,-4.66,18.71,-5.04,19.56,158.56,2.68,0
34.8,10.12,-1.72,6.11,2.85,0.0,165.77,2.42,0
101.89,50.79,-3.69,12.48,-6.77,13.28,162.13,2.73,0
94.5,13.65,-0.13,7.37,-8.5,3.71,6095.17,2.84,0
86.69,6.31,-2.33,10.95,1.51,21.33,124.3,2.68,0
65.51,17.62,-3.5,12.5,-2.35,57.24,106.09,2.55,0
88.27,8.08,-2.28,10.99,1.51,23.31,124.3,2.68,0
96.0,0.8,-2.65,0.64,-0.59,9.16,159.12,2.85,0
66.76,45.68,-2.66,7.7,1.12,32.75,147.78,2.16,0
80.95,44.02,-2.45,15.48,1.55,17.29,160.53,2.65,0
33.17,8.33,-1.79,6.02,2.58,0.0,166.8,2.37,0
50.29,0.1,2.27,5.31,8.49,23.57,959.85,2.45,0
84.76,2.96,-1.68,8.87,4.4,20.83,115.97,2.67,0
85.54,18.18,-3.37,10.53,-2.46,103.21,106.78,2.39,0
95.53,15.79,-1.79,10.6,-1.91,12.27,172.05,2.71,0
49.1,2.6,0.56,7.09,5.26,20.22,142.72,2.5,0
97.02,21.48,-1.97,11.61,-0.92,47.19,58.78,2.71,0
91.41,23.72,-2.91,10.85,11.75,79.48,94.59,2.69,0
35.03,3.73,-0.9,4.05,0.18,90.57,1023.82,2.11,0
34.36,7.58,-0.35,8.15,9.69,15.27,408.22,2.24,0
49.59,12.9,-0.1,1.74,1.94,0.23,107.83,2.57,0
78.97,0.01,-4.47,11.13,-0.5,37.45,166.65,2.65,0
56.65,20.14,-1.93,8.81,1.02,2.94,187.83,2.54,0
73.26,38.93,-4.9,7.07,-8.38,28.32,158.17,2.44,0
93.49,45.56,-3.16,18.28,4.12,19.2,161.14,2.7,0
93.49,45.56,-3.16,18.28,4.12,19.2,161.14,2.7,0
66.97,18.49,-0.94,5.86,4.71,0.0,162.89,1.72,0
53.39,0.3,2.35,2.16,5.43,32.09,1160.99,2.51,0
56.07,2.18,-8.88,4.73,6.79,2.65,5546.7,2.54,0
86.34,22.92,-0.85,9.65,0.44,9.04,145.52,2.68,0
25.21,0.1,-0.28,3.36,0.91,65.03,774.48,2.03,0
72.79,10.32,-1.81,5.86,5.78,0.0,166.35,1.97,0
11.94,1.48,0.58,8.89,1.49,22.79,368.21,1.8,0
37.74,1.67,0.96,9.66,6.74,25.42,991.31,2.24,0
12.64,2.47,0.62,9.8,1.86,19.45,269.8,1.77,0
52.06,5.54,-8.88,6.72,5.06,2.65,5546.7,2.51,0
94.45,21.95,1.78,1.86,-1.61,10.16,159.56,2.7,0
87.96,19.98,-0.85,8.24,1.84,7.6,6587.38,2.72,0
35.03,3.25,-0.54,10.76,8.09,31.0,438.27,2.15,0
100.0,54.81,-3.8,10.11,-10.25,14.68,162.13,2.72,0
54.55,3.25,1.24,3.37,14.05,32.55,471.85,2.05,0
66.26,18.09,-0.84,3.52,7.21,0.04,160.74,2.3,0
34.11,4.04,1.17,3.01,4.58,29.12,948.96,2.23,0
104.26,54.11,-3.77,9.87,-10.33,13.67,162.51,2.73,0
85.8,3.55,-1.57,8.85,4.23,20.04,141.61,2.67,0
91.59,16.91,-3.44,16.89,1.09,55.29,64.71,2.69,0
91.95,17.51,-1.94,15.01,7.95,56.91,61.47,2.7,0
84.5,3.8,-3.4,10.64,-3.66,26.51,137.35,2.7,0
90.33,18.37,-3.55,11.53,10.94,84.32,76.82,2.65,0
107.69,39.51,-2.91,13.17,-2.08,11.95,168.0,2.75,0
52.82,21.96,-8.98,6.48,6.06,3.18,233.02,2.52,0
13.63,13.3,-2.34,4.25,-1.02,102.03,1042.36,1.55,0
56.79,52.86,-3.64,7.44,-4.72,34.97,145.59,2.17,0
83.13,14.64,0.35,1.2,-1.83,9.39,159.33,2.66,0
35.16,9.52,-1.69,6.04,2.85,0.0,166.1,2.43,0
99.59,53.25,-3.73,5.24,-5.64,13.3,159.86,2.72,0
99.59,53.25,-3.73,5.24,-5.64,13.3,159.86,2.72,0
13.23,57.36,-1.26,-2.05,-23.71,32.33,351.43,1.76,0
97.8,0.1,-1.66,0.21,-1.49,2.78,183.71,2.73,0
59.73,36.85,-2.85,10.69,-10.83,14.15,165.83,2.29,0
8.88,11.96,-1.94,5.33,-4.46,41.67,874.91,1.48,0
80.01,38.93,-5.43,15.76,-2.2,24.11,159.3,2.46,0
75.32,38.93,-4.69,7.44,-4.01,34.62,150.5,2.13,0
72.2,38.93,-3.57,7.67,-8.34,20.99,1286.43,2.61,0
61.09,0.1,1.44,0.21,-1.49,4.47,170.17,2.56,0
65.75,21.37,-1.84,8.82,-5.36,1.79,960.5,2.59,0
95.87,38.93,-5.57,15.83,-2.16,21.94,159.94,2.71,0
68.22,0.1,1.68,0.21,-1.49,4.17,170.52,2.6,0
76.09,33.88,-2.41,1.97,-6.7,9.43,170.64,2.63,0
90.68,19.33,-0.35,7.09,-8.63,10.99,356.91,2.82,0
71.45,41.58,-2.74,11.63,-0.16,22.58,1177.9,2.59,0
13.63,13.3,-2.34,4.25,-1.02,102.03,1042.36,1.55,0
96.3,0.09,0.24,0.64,-0.59,5.9,162.73,2.84,0
83.69,2.28,-3.46,10.57,-3.71,31.83,132.11,2.68,0
90.59,18.18,-5.39,14.86,5.37,46.94,65.6,2.69,0
77.11,0.1,1.02,1.3,2.54,0.41,97.8,0.77,0
57.26,3.72,1.31,2.3,-0.83,7.55,170.17,2.48,0
70.0,42.16,-2.73,11.73,-0.16,22.58,1177.9,2.59,0
70.87,42.16,-2.09,8.87,0.15,31.71,156.37,2.12,0
33.17,8.33,-1.79,6.02,2.58,0.0,166.8,2.37,0
59.52,51.31,-3.85,6.64,-3.94,35.27,149.14,2.25,0
63.83,51.31,-4.16,15.04,2.06,32.87,146.67,2.29,0
4.27,51.36,-1.86,3.58,-24.13,28.79,274.15,1.51,0
87.45,14.35,-3.04,10.69,-0.11,18.46,263.39,2.68,0
63.23,12.38,2.58,6.02,6.44,3.18,299.39,2.6,0
79.02,29.26,-2.75,13.4,1.21,51.79,114.7,2.15,0
90.44,29.07,-4.03,13.66,8.48,46.2,102.6,2.68,0
33.91,29.88,-1.79,6.64,-1.19,9.46,264.49,2.11,0
78.91,29.26,-2.63,9.17,2.21,40.58,113.33,2.3,0
17.06,1.01,-2.28,-0.46,-4.62,50.32,583.4,1.59,0
48.12,12.19,-0.33,3.95,2.35,11.68,160.22,2.49,0
94.57,14.54,1.07,2.74,-0.17,6.92,167.61,2.7,0
23.5,31.92,-2.61,10.05,-1.24,11.7,338.97,1.92,0
23.5,31.92,-2.61,10.05,-1.24,11.7,338.97,1.92,0
94.2,30.02,-5.05,15.35,4.75,50.56,99.71,2.7,0
37.95,5.53,-1.6,5.68,2.58,0.0,166.93,2.54,0
0.67,46.86,-2.82,7.21,-1.64,28.79,274.15,1.0,0
63.17,46.6,-2.62,7.53,1.19,32.98,147.79,2.41,0
64.64,46.77,-2.6,7.54,1.19,32.75,147.78,2.27,0
73.24,15.08,-9.14,11.37,3.93,3.03,279.3,2.67,0
27.48,16.09,-3.32,12.21,-1.84,20.43,241.45,2.05,0
27.48,16.09,-3.32,12.21,-1.84,20.43,241.45,2.05,0
65.76,24.23,-1.49,8.13,2.69,39.41,221.44,2.69,0
83.95,1.15,-4.44,11.44,0.65,35.41,119.17,2.67,0
80.26,26.03,-1.65,8.69,-3.32,51.48,150.2,2.79,0
