Seafloor Age,Distance Along Trench,Trench Absolute Orthogonal,Convergence Orthogonal,Convergence Parallel,decompacted sediment thickness,sediment thickness,ocean crust carbon percent,Label
69.48,44.67,-1.51,13.14,2.39,32.88,991.31,2.55,0
69.08,44.67,-1.49,13.12,2.26,28.12,980.15,2.54,0
62.28,44.67,-1.47,11.35,3.79,22.41,1065.28,2.55,0
63.27,44.67,-1.45,11.39,3.73,24.69,1120.94,2.55,0
64.19,44.67,-1.43,11.43,3.66,29.89,999.5,2.54,0
63.96,44.67,-1.41,11.46,3.6,32.48,149.89,2.53,0
64.94,44.67,-1.39,11.5,3.54,32.58,150.11,2.5,0
66.71,44.67,-1.37,6.97,3.46,32.87,149.17,2.4,0
66.07,44.67,-1.35,7.0,3.47,32.09,149.13,2.37,0
66.72,44.67,-1.32,7.04,3.47,32.98,149.14,2.27,0
67.36,44.67,-1.3,7.07,3.48,32.98,147.79,2.18,0
66.76,44.67,-1.28,7.1,3.49,32.75,147.78,2.16,0
68.23,44.67,-1.26,8.38,1.69,33.53,147.76,2.11,0
68.44,44.67,-1.23,8.39,1.68,34.09,148.13,2.11,0
67.61,44.67,-1.21,8.39,1.67,34.37,147.69,2.1,0
67.8,44.67,-1.19,8.4,1.67,35.28,149.07,2.11,0
68.74,44.67,-1.16,8.41,1.66,35.27,149.14,2.13,0
67.88,44.67,-2.74,10.02,0.47,34.84,158.0,2.13,0
68.05,44.67,-2.76,10.08,0.51,26.66,157.59,2.16,0
67.16,44.67,-2.78,10.13,0.55,26.28,158.23,2.17,0
67.29,44.67,-2.8,10.18,0.58,25.98,158.6,2.22,0
67.4,44.67,-2.81,10.24,0.62,25.37,158.47,2.28,0
68.47,44.67,-1.97,10.62,11.44,25.25,158.84,2.4,0
69.2,44.67,-1.97,10.63,11.46,24.56,158.82,2.43,0
71.0,44.67,-1.98,10.64,11.47,24.11,159.3,2.38,0
71.78,44.67,-1.99,10.65,11.49,23.43,159.54,2.32,0
73.75,44.67,-2.0,10.66,11.5,23.27,159.71,2.36,0
77.01,44.67,-2.0,10.67,11.52,22.66,160.05,2.45,0
80.83,44.67,-2.01,10.67,11.54,22.22,159.99,2.48,0
82.79,44.67,-2.01,10.68,11.55,21.88,160.34,2.51,0
89.17,44.67,-2.02,10.69,11.56,21.44,160.28,2.68,0
93.2,44.67,-2.02,10.69,11.58,21.19,160.62,2.7,0
93.95,44.67,-1.16,11.28,13.14,20.67,159.94,2.7,0
96.13,44.5,-1.94,14.27,13.18,20.07,160.27,2.71,0
96.86,44.15,-1.93,14.31,13.1,19.56,160.7,2.71,0
94.02,43.81,-1.91,16.1,9.56,19.2,161.14,2.7,0
89.64,43.39,-1.89,16.12,9.48,18.9,160.41,2.69,0
83.95,42.98,-1.84,15.55,8.47,18.69,160.46,2.66,0
77.61,42.83,-1.75,14.21,6.24,17.29,160.53,2.58,0
74.34,42.81,-1.74,14.23,6.14,16.77,162.31,2.51,0
71.05,42.79,-1.73,14.25,6.04,15.99,161.03,2.45,0
68.85,42.76,-1.72,14.27,5.94,15.56,160.49,2.43,0
107.92,42.73,-2.38,14.05,2.71,14.6,162.99,2.75,0
107.25,42.6,-2.63,13.64,0.3,13.28,163.17,2.74,0
103.81,42.37,-2.61,13.6,0.22,13.1,168.67,2.73,0
98.8,42.13,-2.58,13.57,0.14,12.79,166.02,2.72,0
96.35,41.9,-2.56,13.53,0.06,11.46,162.51,2.71,0
93.54,41.66,-2.54,7.78,0.22,11.48,168.69,2.7,0
90.47,41.27,-2.52,7.75,0.22,11.88,165.84,2.69,0
88.03,41.03,-2.52,7.66,0.14,11.5,169.86,2.68,0
82.26,40.8,-2.79,7.1,-0.54,9.43,170.64,2.66,0
80.08,40.61,-2.77,7.08,-0.54,8.8,170.73,2.65,0
79.25,4.83,1.11,1.68,0.43,7.5,169.33,2.65,0
77.72,4.29,1.12,1.69,0.44,7.56,168.52,2.64,0
77.56,4.29,1.13,1.7,0.46,7.25,167.36,2.64,0
71.99,4.29,1.14,1.71,0.48,7.6,167.06,2.62,0
70.22,6.92,1.6,1.28,-0.94,7.38,166.38,2.61,0
64.44,6.73,1.15,1.75,-2.19,7.25,165.34,2.58,0
62.66,6.73,0.65,1.77,-1.56,7.55,165.09,2.57,0
60.53,6.54,-0.1,1.79,-0.63,6.53,166.47,2.56,0
98.46,6.36,-0.09,1.81,-0.61,6.33,166.29,2.72,0
98.08,6.36,-0.09,1.81,-0.6,6.61,165.44,2.72,0
97.67,6.17,-1.62,10.25,-3.07,5.82,168.18,2.72,0
97.82,5.98,-1.64,10.27,-3.04,4.72,166.86,2.73,0
97.73,5.98,-1.64,10.29,-3.02,4.99,168.24,2.74,0
97.38,5.79,-1.65,10.31,-2.99,4.86,164.74,2.75,0
98.07,5.6,-0.17,7.68,0.54,3.78,164.47,2.78,0
97.76,5.03,0.87,7.06,3.27,3.37,167.56,2.79,0
97.5,4.84,0.85,7.09,3.33,3.7,166.19,2.81,0
97.15,4.84,0.33,7.6,4.24,3.29,166.45,2.82,0
96.9,4.67,0.3,7.63,4.3,2.71,166.72,2.83,0
97.33,4.69,0.28,7.64,4.36,5.9,162.73,2.85,0
96.99,4.7,-2.2,10.11,0.37,9.16,159.12,2.86,0
96.2,4.72,-2.25,10.15,0.47,3.03,169.98,2.85,0
95.9,4.54,-2.32,10.22,0.56,7.38,158.68,2.85,0
95.63,4.56,-2.37,10.26,0.66,4.98,310.7,2.85,0
94.81,4.57,-2.67,10.55,-0.51,11.15,318.78,2.84,0
90.77,4.4,-3.3,11.18,-3.36,10.99,323.07,2.82,0
86.18,4.42,-3.31,11.18,-3.32,10.31,164.91,2.74,0
80.91,4.43,-3.32,11.19,-3.28,2.8,165.92,2.66,0
72.5,4.26,-3.34,12.52,-3.04,2.76,162.66,2.62,0
67.33,4.27,-3.35,12.52,-3.0,2.62,163.3,2.6,0
63.79,4.29,-0.69,9.86,3.19,2.6,7115.28,2.58,0
60.92,3.22,-0.68,9.85,3.2,2.61,7137.92,2.56,0
58.59,3.22,-0.68,9.85,3.2,2.15,163.75,2.55,0
56.68,3.22,-0.68,9.85,3.2,2.08,161.99,2.54,0
54.66,3.22,-0.68,9.84,3.21,2.22,163.38,2.53,0
53.52,3.22,-0.68,9.84,3.21,2.11,163.25,2.52,0
52.24,3.22,-0.68,9.84,3.22,1.84,163.1,2.52,0
51.11,3.22,-0.67,9.84,3.22,1.87,162.97,2.51,0
49.99,3.22,-0.67,9.83,3.23,1.76,162.87,2.5,0
48.82,3.22,-0.67,9.83,3.23,1.64,162.77,2.49,0
47.69,3.22,9.01,0.0,0.0,1.66,162.7,2.49,0
47.45,26.11,-1.22,8.66,1.51,1.57,162.52,2.48,0
46.4,18.53,-9.1,5.8,6.57,1.4,162.34,2.48,0
48.05,19.29,-9.04,6.91,5.44,1.26,162.17,2.49,0
51.85,19.69,-9.03,6.91,5.46,1.27,166.39,2.51,0
52.84,20.31,-9.02,6.91,5.48,1.25,241.17,2.52,0
53.12,20.7,-9.02,6.91,5.5,5.77,214.82,2.52,0
52.36,18.27,-9.0,6.91,5.52,3.18,233.02,2.52,0
52.25,18.07,-9.0,6.9,5.53,2.94,229.91,2.52,0
63.29,18.06,-8.98,6.9,5.55,3.07,162.24,2.64,0
58.41,18.06,-9.15,10.79,4.81,3.03,215.54,2.56,0
49.12,2.37,-3.25,2.89,0.48,2.92,213.54,2.5,0
48.51,2.37,-3.24,2.89,0.48,39.18,160.08,2.49,0
48.57,2.37,-3.23,2.89,0.48,6.46,152.68,2.49,0
47.68,2.18,-3.2,2.91,0.48,2.57,154.99,2.49,0
47.42,2.18,-3.19,2.91,0.48,1.58,161.9,2.48,0
48.19,2.37,-3.19,2.89,0.48,1.23,165.4,2.49,0
47.57,2.37,-3.17,2.89,0.48,-0.0,166.73,2.49,0
47.35,2.37,-3.16,2.89,0.48,-0.0,167.21,2.48,0
46.17,2.37,-3.15,2.89,0.48,0.0,170.22,2.48,0
44.71,2.18,-2.47,7.48,3.87,0.0,172.12,2.47,0
45.69,2.18,-2.47,7.48,3.87,0.0,168.52,2.47,0
44.0,2.18,-2.47,7.48,3.87,0.0,172.77,2.46,0
50.1,2.37,-2.48,7.47,3.87,0.0,172.45,2.58,0
50.23,2.37,-2.48,7.47,3.87,0.0,172.05,2.6,0
47.92,2.37,-2.48,7.47,3.87,0.0,171.75,2.56,0
47.2,2.37,-2.47,7.47,3.87,0.0,170.37,2.56,0
33.66,2.37,-2.47,7.47,3.87,0.0,171.16,2.38,0
36.08,2.37,-2.47,7.47,3.87,0.0,170.25,2.4,0
36.24,2.37,-2.46,7.47,3.87,0.0,169.96,2.4,0
36.49,2.37,-2.28,5.74,1.25,0.0,170.12,2.4,0
36.36,2.37,-2.28,5.74,1.25,0.0,169.82,2.4,0
36.24,2.37,-2.28,5.74,1.25,0.0,169.53,2.41,0
36.19,2.37,-2.28,5.74,1.25,0.0,169.66,2.41,0
36.08,2.18,-2.26,5.71,1.25,0.0,169.36,2.42,0
35.98,2.37,-2.27,5.74,1.25,0.0,168.49,2.43,0
38.28,2.37,-2.27,5.74,1.25,0.0,167.27,2.52,0
38.18,2.37,-2.27,5.74,1.25,0.0,165.63,2.53,0
38.15,2.37,-2.27,5.74,1.25,0.0,162.75,2.54,0
38.06,2.37,-2.26,5.74,1.25,0.0,161.53,2.54,0
37.98,2.37,-0.57,5.41,0.69,0.0,160.43,2.54,0
38.19,2.18,-0.58,5.4,0.69,0.0,157.46,2.54,0
